juniors,inactives,floor,metric,fed,stat,value
FALSE,FALSE,1000,sd,ENG,ptpval,0.075792
FALSE,FALSE,1000,sd,ENG,ptmean,-1.103833707473966
FALSE,FALSE,1000,sd,ENG,ptsd,26.738453378151814
FALSE,FALSE,1000,sd,ESP,obs,48.34194920685508
FALSE,FALSE,1000,sd,ESP,ptpval,5e-6
FALSE,FALSE,1000,sd,ESP,ptmean,-0.1801507375642966
FALSE,FALSE,1000,sd,ESP,ptsd,10.623217648194764
FALSE,FALSE,1000,sd,FRA,obs,10.004741357816442
FALSE,FALSE,1000,sd,FRA,ptpval,0.110611
FALSE,FALSE,1000,sd,FRA,ptmean,-0.08653099469641758
FALSE,FALSE,1000,sd,FRA,ptsd,8.23490336023966
FALSE,FALSE,1000,sd,GEO,obs,-134.16043832999952
FALSE,FALSE,1000,sd,GEO,ptpval,0.999949
FALSE,FALSE,1000,sd,GEO,ptmean,-0.7333415456221458
FALSE,FALSE,1000,sd,GEO,ptsd,34.35029319425971
FALSE,FALSE,1000,sd,GER,obs,12.593125123231829
FALSE,FALSE,1000,sd,GER,ptpval,0.056388
FALSE,FALSE,1000,sd,GER,ptmean,-0.10771146252691662
FALSE,FALSE,1000,sd,GER,ptsd,7.98581130564265
FALSE,FALSE,1000,sd,GRE,obs,-44.133627512601095
FALSE,FALSE,1000,sd,GRE,ptpval,0.997027
