metric,juniors,inactives,floor,fed,yP,yPEA,E,A,weight
top1,TRUE,FALSE,1000,BLR,185.90484600000002,192.44488249676903,-49,8,1.4790510292762537e-4
top1,TRUE,FALSE,1000,BOL,239.59155099999998,242.2887939780001,-254,11,5.0724976221128285e-5
top1,TRUE,FALSE,1000,BOT,391.642752,407.2783899220068,251,7,4.334616772044325e-5
top1,TRUE,FALSE,1000,BRA,302.901405,310.2995938903024,-145,12,1.770163156702106e-4
top1,TRUE,FALSE,1000,BUL,83.62666100000001,78.75030716521599,-266,4,4.528265038846529e-5
top1,TRUE,FALSE,1000,CAN,181.813577,192.46491794389772,-170,16,8.859669554919885e-5
top1,TRUE,FALSE,1000,CHI,377.864536,381.9407573526556,303,-6,8.445119831582925e-5
top1,TRUE,FALSE,1000,CHN,91.223411,100.49037326629113,214,2,2.0769755246627898e-4
top1,TRUE,FALSE,1000,COL,248.852846,248.73950507035167,27,-1,3.3712377074336826e-4
top1,TRUE,FALSE,1000,CRC,272.161268,273.152999246952,333,-10,6.6043582955966e-5
top1,TRUE,FALSE,1000,CRO,232.115555,247.59737362819004,125,11,1.4522572758957428e-4
top1,TRUE,FALSE,1000,CUB,204.54915,228.13348810158118,517,6,2.395187166868101e-4
top1,TRUE,FALSE,1000,CZE,245.78177,259.25313720267,369,1,1.1760148292277809e-4
top1,TRUE,FALSE,1000,DEN,171.0621,147.98509593036076,-168,-17,6.926992961349617e-5
top1,TRUE,FALSE,1000,DOM,367.906783,373.76947281204065,22,5,9.205823160067374e-5
top1,TRUE,FALSE,1000,ECU,262.568834,285.3381994820057,-84,25,4.690094968997871e-5
top1,TRUE,FALSE,1000,EGY,218.83439299999998,236.04600836443694,237,9,4.457371184984794e-5
top1,TRUE,FALSE,1000,ENG,128.076063,150.8629675126144,463,7,7.868594328564666e-5
top1,TRUE,FALSE,1000,ESP,145.469967,147.30365979814354,24,1,1.587966117501619e-4
top1,TRUE,FALSE,1000,EST,146.186406,178.713876937897,266,23,1.708620852884621e-4
top1,TRUE,FALSE,1000,FRA,159.895995,172.665727996115,500,-4,8.671192749075856e-5
